# класс;литера;пол; Имя;Отч;Фам; тел;адр;eml

1;1;1;Имя001;Отч001;Фам001;Тел001;Адр001;Пчт001;
1;1;1;Имя002;Отч002;Фам002;Тел002;Адр002;Пчт002;
1;1;1;Имя003;Отч003;Фам003;Тел003;Адр003;Пчт003;
1;1;2;Имя004;Отч004;Фам004;Тел004;Адр004;Пчт004;
1;1;1;Имя005;Отч005;Фам005;Тел005;Адр005;Пчт005;
1;1;1;Имя006;Отч006;Фам006;Тел006;Адр006;Пчт006;
1;1;1;Имя007;Отч007;Фам007;Тел007;Адр007;Пчт007;
1;1;2;Имя008;Отч008;Фам008;Тел008;Адр008;Пчт008;
1;1;1;Имя009;Отч009;Фам009;Тел009;Адр009;Пчт009;
1;1;1;Имя010;Отч010;Фам010;Тел010;Адр010;Пчт010;
1;1;2;Имя011;Отч011;Фам011;Тел011;Адр011;Пчт011;
1;1;1;Имя012;Отч012;Фам012;Тел012;Адр012;Пчт012;
1;1;1;Имя013;Отч013;Фам013;Тел013;Адр013;Пчт013;
1;1;1;Имя014;Отч014;Фам014;Тел014;Адр014;Пчт014;

1;2;1;Имя015;Отч015;Фам015;Тел015;Адр015;Пчт015;
1;2;2;Имя016;Отч016;Фам016;Тел016;Адр016;Пчт016;
1;2;2;Имя017;Отч017;Фам017;Тел017;Адр017;Пчт017;
1;2;1;Имя018;Отч018;Фам018;Тел018;Адр018;Пчт018;
1;2;1;Имя019;Отч019;Фам019;Тел019;Адр019;Пчт019;
1;2;2;Имя020;Отч020;Фам020;Тел020;Адр020;Пчт020;
1;2;2;Имя021;Отч021;Фам021;Тел021;Адр021;Пчт021;
1;2;2;Имя022;Отч022;Фам022;Тел022;Адр022;Пчт022;
1;2;1;Имя023;Отч023;Фам023;Тел023;Адр023;Пчт023;
1;2;1;Имя024;Отч024;Фам024;Тел024;Адр024;Пчт024;
1;2;1;Имя025;Отч025;Фам025;Тел025;Адр025;Пчт025;
1;2;2;Имя026;Отч026;Фам026;Тел026;Адр026;Пчт026;
1;2;2;Имя027;Отч027;Фам027;Тел027;Адр027;Пчт027;
1;2;1;Имя028;Отч028;Фам028;Тел028;Адр028;Пчт028;

1;3;2;Имя029;Отч029;Фам029;Тел029;Адр029;Пчт029;
1;3;2;Имя030;Отч030;Фам030;Тел030;Адр030;Пчт030;
1;3;2;Имя031;Отч031;Фам031;Тел031;Адр031;Пчт031;
1;3;1;Имя032;Отч032;Фам032;Тел032;Адр032;Пчт032;
1;3;1;Имя033;Отч033;Фам033;Тел033;Адр033;Пчт033;
1;3;2;Имя034;Отч034;Фам034;Тел034;Адр034;Пчт034;
1;3;2;Имя035;Отч035;Фам035;Тел035;Адр035;Пчт035;
1;3;1;Имя036;Отч036;Фам036;Тел036;Адр036;Пчт036;
